asset,free,locked
BTC,0.000000,0.000000
LTC,0.000000,0.000000
ETH,0.000000,0.000000
NEO,0.000000,0.000000
BNB,0.000000,0.000000
QTUM,0.000000,0.000000
EOS,0.000000,0.000000
SNT,0.000000,0.000000
BNT,0.000000,0.000000
GAS,0.000000,0.000000
BCC,0.000000,0.000000
USDT,0.526600,0.000000
HSR,0.000000,0.000000
OAX,0.000000,0.000000
DNT,0.000000,0.000000
MCO,0.000000,0.000000
ICN,0.000000,0.000000
ZRX,0.000000,0.000000
OMG,0.000000,0.000000
WTC,0.000000,0.000000
YOYO,0.000000,0.000000
LRC,0.000000,0.000000
TRX,0.000000,0.000000
SNGLS,0.000000,0.000000
STRAT,0.000000,0.000000
BQX,0.000000,0.000000
FUN,0.000000,0.000000
KNC,0.000000,0.000000
CDT,0.000000,0.000000
XVG,0.000000,0.000000
IOTA,0.000000,0.000000
SNM,0.000000,0.000000
LINK,0.000000,0.000000
CVC,0.000000,0.000000
TNT,0.000000,0.000000
REP,0.000000,0.000000
MDA,0.000000,0.000000
MTL,0.000000,0.000000
SALT,0.000000,0.000000
NULS,0.000000,0.000000
SUB,0.000000,0.000000
STX,0.000000,0.000000
MTH,0.000000,0.000000
ADX,0.000000,0.000000
ETC,0.000000,0.000000
ENG,0.000000,0.000000
ZEC,0.000000,0.000000
AST,0.000000,0.000000
GNT,0.000000,0.000000
DGD,0.000000,0.000000
BAT,0.000000,0.000000
DASH,0.000000,0.000000
POWR,0.000000,0.000000
BTG,0.000000,0.000000
REQ,0.000000,0.000000
XMR,0.000000,0.000000
EVX,0.000000,0.000000
VIB,0.000000,0.000000
ENJ,0.000000,0.000000
VEN,0.000000,0.000000
ARK,0.000000,0.000000
XRP,0.000000,0.000000
MOD,0.000000,0.000000
STORJ,0.000000,0.000000
KMD,0.000000,0.000000
RCN,0.000000,0.000000
EDO,0.000000,0.000000
DATA,0.000000,0.000000
DLT,0.000000,0.000000
MANA,0.000000,0.000000
PPT,0.000000,0.000000
RDN,0.000000,0.000000
GXS,0.000000,0.000000
AMB,0.000000,0.000000
ARN,0.000000,0.000000
BCPT,0.000000,0.000000
CND,0.000000,0.000000
GVT,0.000000,0.000000
POE,0.000000,0.000000
BTS,0.000000,0.000000
FUEL,0.000000,0.000000
XZC,0.000000,0.000000
QSP,0.000000,0.000000
LSK,0.000000,0.000000
BCD,0.000000,0.000000
TNB,0.000000,0.000000
ADA,0.000000,0.000000
LEND,0.000000,0.000000
XLM,0.000000,0.000000
CMT,0.000000,0.000000
WAVES,0.000000,0.000000
WABI,0.000000,0.000000
GTO,0.000000,0.000000
ICX,0.000000,0.000000
OST,0.000000,0.000000
ELF,0.000000,0.000000
AION,0.000000,0.000000
WINGS,0.000000,0.000000
BRD,0.000000,0.000000
NEBL,0.000000,0.000000
NAV,0.000000,0.000000
VIBE,0.000000,0.000000
LUN,0.000000,0.000000
TRIG,0.000000,0.000000
APPC,0.000000,0.000000
CHAT,0.000000,0.000000
RLC,0.000000,0.000000
INS,0.000000,0.000000
PIVX,0.000000,0.000000
IOST,0.000000,0.000000
STEEM,0.000000,0.000000
NANO,0.000000,0.000000
AE,0.000000,0.000000
VIA,0.000000,0.000000
BLZ,0.000000,0.000000
SYS,0.000000,0.000000
RPX,0.000000,0.000000
NCASH,0.000000,0.000000
POA,0.000000,0.000000
ONT,0.000000,0.000000
ZIL,0.000000,0.000000
STORM,0.000000,0.000000
XEM,0.000000,0.000000
WAN,0.000000,0.000000
WPR,0.000000,0.000000
QLC,0.000000,0.000000
GRS,0.000000,0.000000
CLOAK,0.000000,0.000000
LOOM,0.000000,0.000000
BCN,0.000000,0.000000
TUSD,0.000000,0.000000
ZEN,0.000000,0.000000
SKY,0.000000,0.000000
THETA,0.000000,0.000000
IOTX,0.000000,0.000000
QKC,0.000000,0.000000
AGI,0.000000,0.000000
NXS,0.000000,0.000000
SC,0.000000,0.000000
NPXS,0.000000,0.000000
KEY,0.000000,0.000000
NAS,0.000000,0.000000
MFT,0.000000,0.000000
DENT,0.000000,0.000000
IQ,0.000000,0.000000
ARDR,0.000000,0.000000
HOT,0.000000,0.000000
VET,0.000000,0.000000
DOCK,0.000000,0.000000
POLY,0.000000,0.000000
VTHO,0.000000,0.000000
ONG,0.000000,0.000000
PHX,0.000000,0.000000
HC,0.000000,0.000000
GO,0.000000,0.000000
PAX,0.000000,0.000000
RVN,0.000000,0.000000
DCR,0.000000,0.000000
USDC,0.000000,0.000000
MITH,0.000000,0.000000
BCHABC,0.000000,0.000000
BCHSV,0.000000,0.000000
REN,0.000000,0.000000
BTT,0.000000,0.000000
USDS,0.000000,0.000000
FET,0.000000,0.000000
TFUEL,0.000000,0.000000
CELR,0.000000,0.000000
MATIC,0.000000,0.000000
ATOM,0.000000,0.000000
PHB,0.000000,0.000000
ONE,0.000000,0.000000
FTM,0.000000,0.000000
BTCB,0.000000,0.000000
USDSB,0.000000,0.000000
CHZ,0.000000,0.000000
COS,0.000000,0.000000
ALGO,0.000000,0.000000
ERD,0.000000,0.000000
DOGE,0.000000,0.000000
BGBP,0.000000,0.000000
DUSK,0.000000,0.000000
ANKR,0.000000,0.000000
WIN,0.000000,0.000000
TUSDB,0.000000,0.000000
COCOS,0.000000,0.000000
PERL,0.000000,0.000000
TOMO,0.000000,0.000000
BUSD,0.000000,0.000000
BAND,0.000000,0.000000
BEAM,0.000000,0.000000
HBAR,0.000000,0.000000
XTZ,0.000000,0.000000
NGN,0.000000,0.000000
DGB,0.000000,0.000000
NKN,0.000000,0.000000
GBP,0.000000,0.000000
EUR,0.000000,0.000000
KAVA,0.000000,0.000000
RUB,0.000000,0.000000
UAH,0.000000,0.000000
ARPA,0.000000,0.000000
TRY,0.000000,0.000000
CTXC,0.000000,0.000000
AERGO,0.000000,0.000000
BCH,0.000000,0.000000
TROY,0.000000,0.000000
BRL,0.000000,0.000000
VITE,0.000000,0.000000
FTT,0.000000,0.000000
PLN,0.000000,0.000000
AUD,0.000000,0.000000
OGN,0.000000,0.000000
DREP,0.000000,0.000000
BULL,0.000000,0.000000
BEAR,0.000000,0.000000
ETHBULL,0.000000,0.000000
ETHBEAR,0.000000,0.000000
XRPBULL,0.000000,0.000000
XRPBEAR,0.000000,0.000000
EOSBULL,0.000000,0.000000
EOSBEAR,0.000000,0.000000
TCT,0.000000,0.000000
WRX,0.000000,0.000000
LTO,0.000000,0.000000
ZAR,0.000000,0.000000
MBL,0.000000,0.000000
COTI,0.000000,0.000000
BKRW,0.000000,0.000000
BNBBULL,0.000000,0.000000
BNBBEAR,0.000000,0.000000
HIVE,0.000000,0.000000
STPT,0.000000,0.000000
SOL,0.000000,0.000000
IDRT,0.000000,0.000000
CTSI,0.000000,0.000000
CHR,0.000000,0.000000
BTCUP,0.000000,0.000000
BTCDOWN,0.000000,0.000000
HNT,0.000000,0.000000
JST,0.000000,0.000000
FIO,0.000000,0.000000
BIDR,0.000000,0.000000
STMX,0.000000,0.000000
MDT,0.000000,0.000000
PNT,0.000000,0.000000
COMP,0.000000,0.000000
IRIS,0.000000,0.000000
MKR,0.000000,0.000000
SXP,0.000000,0.000000
SNX,0.000000,0.000000
DAI,0.000000,0.000000
ETHUP,0.000000,0.000000
ETHDOWN,0.000000,0.000000
ADAUP,0.000000,0.000000
ADADOWN,0.000000,0.000000
LINKUP,0.000000,0.000000
LINKDOWN,0.000000,0.000000
DOT,0.000000,0.000000
RUNE,0.000000,0.000000
BNBUP,0.000000,0.000000
BNBDOWN,0.000000,0.000000
XTZUP,0.000000,0.000000
XTZDOWN,0.000000,0.000000
AVA,0.000000,0.000000
BAL,0.000000,0.000000
YFI,0.000000,0.000000
SRM,0.000000,0.000000
ANT,0.000000,0.000000
CRV,0.000000,0.000000
SAND,0.000000,0.000000
OCEAN,0.000000,0.000000
NMR,0.000000,0.000000
LUNA,0.000000,0.000000
IDEX,0.000000,0.000000
RSR,0.000000,0.000000
PAXG,0.000000,0.000000
WNXM,0.000000,0.000000
TRB,0.000000,0.000000
EGLD,0.000000,0.000000
BZRX,0.000000,0.000000
WBTC,0.000000,0.000000
KSM,0.000000,0.000000
SUSHI,0.000000,0.000000
YFII,0.000000,0.000000
DIA,0.000000,0.000000
BEL,0.000000,0.000000
UMA,0.000000,0.000000
EOSUP,0.000000,0.000000
TRXUP,0.000000,0.000000
EOSDOWN,0.000000,0.000000
TRXDOWN,0.000000,0.000000
XRPUP,0.000000,0.000000
XRPDOWN,0.000000,0.000000
DOTUP,0.000000,0.000000
DOTDOWN,0.000000,0.000000
NBS,0.000000,0.000000
WING,0.000000,0.000000
SWRV,0.000000,0.000000
LTCUP,0.000000,0.000000
LTCDOWN,0.000000,0.000000
CREAM,0.000000,0.000000
UNI,0.000000,0.000000
OXT,0.000000,0.000000
SUN,0.000000,0.000000
AVAX,0.000000,0.000000
BURGER,0.000000,0.000000
BAKE,0.000000,0.000000
FLM,0.000000,0.000000
SCRT,0.000000,0.000000
XVS,0.000000,0.000000
CAKE,0.000000,0.000000
SPARTA,0.000000,0.000000
UNIUP,0.000000,0.000000
UNIDOWN,0.000000,0.000000
ALPHA,0.000000,0.000000
ORN,0.000000,0.000000
UTK,0.000000,0.000000
NEAR,0.000000,0.000000
VIDT,0.000000,0.000000
AAVE,0.000000,0.000000
FIL,0.000000,0.000000
SXPUP,0.000000,0.000000
SXPDOWN,0.000000,0.000000
INJ,0.000000,0.000000
FILDOWN,0.000000,0.000000
FILUP,0.000000,0.000000
YFIUP,0.000000,0.000000
YFIDOWN,0.000000,0.000000
CTK,0.000000,0.000000
EASY,0.000000,0.000000
AUDIO,0.000000,0.000000
BCHUP,0.000000,0.000000
BCHDOWN,0.000000,0.000000
BOT,0.000000,0.000000
AXS,0.000000,0.000000
AKRO,0.000000,0.000000
HARD,0.000000,0.000000
KP3R,0.000000,0.000000
RENBTC,0.000000,0.000000
SLP,0.000000,0.000000
STRAX,0.000000,0.000000
UNFI,0.000000,0.000000
CVP,0.000000,0.000000
BCHA,0.000000,0.000000
FOR,0.000000,0.000000
FRONT,0.000000,0.000000
ROSE,0.000000,0.000000
MDX,0.000000,0.000000
HEGIC,0.000000,0.000000
AAVEUP,0.000000,0.000000
AAVEDOWN,0.000000,0.000000
PROM,0.000000,0.000000
BETH,0.000000,0.000000
SKL,0.000000,0.000000
GLM,0.000000,0.000000
SUSD,0.000000,0.000000
COVER,0.000000,0.000000
GHST,0.000000,0.000000
SUSHIUP,0.000000,0.000000
SUSHIDOWN,0.000000,0.000000
XLMUP,0.000000,0.000000
XLMDOWN,0.000000,0.000000
DF,0.000000,0.000000
JUV,0.000000,0.000000
PSG,0.000000,0.000000
BVND,0.000000,0.000000
GRT,0.000000,0.000000
CELO,0.000000,0.000000
TWT,0.000000,0.000000
REEF,0.000000,0.000000
OG,0.000000,0.000000
ATM,0.000000,0.000000
ASR,0.000000,0.000000
1INCH,0.000000,0.000000
RIF,0.000000,0.000000
BTCST,0.000000,0.000000
TRU,0.000000,0.000000
DEXE,0.000000,0.000000
CKB,0.000000,0.000000
FIRO,0.000000,0.000000
LIT,0.000000,0.000000
PROS,0.000000,0.000000
VAI,0.000000,0.000000
SFP,0.000000,0.000000
FXS,0.000000,0.000000
DODO,0.000000,0.000000
AUCTION,0.000000,0.000000
UFT,0.000000,0.000000
ACM,0.000000,0.000000
PHA,0.000000,0.000000
TVK,0.000000,0.000000
BADGER,0.000000,0.000000
FIS,0.000000,0.000000
QI,0.000000,0.000000
OM,0.000000,0.000000
POND,0.000000,0.000000
ALICE,0.000000,0.000000
DEGO,0.000000,0.000000
BIFI,0.000000,0.000000
LINA,0.000000,0.000000
PERP,0.000000,0.000000
RAMP,0.000000,0.000000
SUPER,0.000000,0.000000
CFX,0.000000,0.000000
TKO,0.000000,0.000000
AUTO,0.000000,0.000000
EPS,0.000000,0.000000
PUNDIX,0.000000,0.000000
TLM,0.000000,0.000000
1INCHUP,0.000000,0.000000
1INCHDOWN,0.000000,0.000000
MIR,0.000000,0.000000
BAR,0.000000,0.000000
FORTH,0.000000,0.000000
EZ,0.000000,0.000000
AR,0.000000,0.000000
ICP,0.000000,0.000000
SHIB,0.000000,0.000000
POLS,0.000000,0.000000
MASK,0.000000,0.000000
LPT,0.000000,0.000000
AGIX,0.000000,0.000000
ATA,0.000000,0.000000
NU,0.000000,0.000000
GTC,0.000000,0.000000
KLAY,0.000000,0.000000
TORN,0.000000,0.000000
KEEP,0.000000,0.000000
ERN,0.000000,0.000000
BOND,0.000000,0.000000
MLN,0.000000,0.000000
C98,0.000000,0.000000
FLOW,0.000000,0.000000
QUICK,0.000000,0.000000
RAY,0.000000,0.000000
MINA,0.000000,0.000000
QNT,0.000000,0.000000
CLV,0.000000,0.000000
XEC,0.000000,0.000000
ALPACA,0.000000,0.000000
FARM,0.000000,0.000000
VGX,0.000000,0.000000
MBOX,0.000000,0.000000
WAXP,0.000000,0.000000
TRIBE,0.000000,0.000000
GNO,0.000000,0.000000
USDP,0.000000,0.000000
DYDX,0.000000,0.000000
GALA,0.000000,0.000000
ILV,0.000000,0.000000
YGG,0.000000,0.000000
FIDA,0.000000,0.000000
AGLD,0.000000,0.000000
BETA,0.000000,0.000000
RAD,0.000000,0.000000
RARE,0.000000,0.000000
SSV,0.000000,0.000000
LAZIO,0.000000,0.000000
MOVR,0.000000,0.000000
CHESS,0.000000,0.000000
DAR,0.000000,0.000000
ACA,0.000000,0.000000
ASTR,0.000000,0.000000
BNX,0.000000,0.000000
RGT,0.000000,0.000000
CITY,0.000000,0.000000
ENS,0.000000,0.000000
PORTO,0.000000,0.000000
JASMY,0.000000,0.000000
AMP,0.000000,0.000000
PLA,0.000000,0.000000
PYR,0.000000,0.000000
SANTOS,0.000000,0.000000
RNDR,0.000000,0.000000
ALCX,0.000000,0.000000
MC,0.000000,0.000000
ANY,0.000000,0.000000
VOXEL,0.000000,0.000000
BICO,0.000000,0.000000
FLUX,0.000000,0.000000
UST,0.000000,0.000000
HIGH,0.000000,0.000000
OOKI,0.000000,0.000000
CVX,0.000000,0.000000
PEOPLE,0.000000,0.000000
SPELL,0.000000,0.000000
JOE,0.000000,0.000000
BDOT,0.000000,0.000000
GLMR,0.000000,0.000000
ACH,0.000000,0.000000
IMX,0.000000,0.000000
LOKA,0.000000,0.000000
BTTC,0.000000,0.000000
ANC,0.000000,0.000000
API3,0.000000,0.000000
XNO,0.000000,0.000000
WOO,0.000000,0.000000
ALPINE,0.000000,0.000000
T,0.000000,0.000000
NBT,0.000000,0.000000
KDA,0.000000,0.000000
APE,0.000000,0.000000
GMT,0.000000,0.000000
MOB,0.000000,0.000000
BSW,0.000000,0.000000
MULTI,0.000000,0.000000
REI,0.000000,0.000000
GAL,0.000000,0.000000
NEXO,0.000000,0.000000
EPX,0.000000,0.000000
LDO,0.000000,0.000000
USTC,0.000000,0.000000
LUNC,0.000000,0.000000
OP,0.000000,0.000000
LEVER,0.000000,0.000000
STG,0.000000,0.000000
POLYX,0.000000,0.000000
GMX,0.000000,0.000000
APT,0.000000,0.000000
OSMO,0.000000,0.000000
